compte_courant,duree_emprunt_mois,historique_credit,raison,montant,compte_epargne,duree_emploi,annees_presence_logement,age,autre_credit,logement,nbre_emprunts_actuels,job,dependants,telephone,defaillant,revenufinal
1 - 200 Euro,12,bon,auto,1007,> 1000 Euro,1 - 4 annees,1.0,22.0,aucun,proprietaire,1,qualifie,1,oui,non,5421.06122261505
inconnu,36,bon,education,1819,< 100 Euro,1 - 4 annees,4.0,37.0,magasin,autre,1,qualifie,1,oui,oui,7718.52646631923
inconnu,36,bon,ameublement,2394,inconnu,1 - 4 annees,4.0,25.0,aucun,proprietaire,1,qualifie,1,oui,non,13130.908476145902
inconnu,36,bon,auto,8133,< 100 Euro,1 - 4 annees,2.0,30.0,banque,proprietaire,1,qualifie,1,oui,non,11972.9921212155
inconnu,7,critique,ameublement,730,inconnu,> 7 annees,2.0,46.0,aucun,locataire,2,non_qualifie,1,oui,non,4974.17135407339
< 0 Euro,8,critique,auto0,1164,< 100 Euro,> 7 annees,4.0,51.0,banque,autre,2,management,2,oui,non,3747.6812655551203
1 - 200 Euro,42,critique,business,5954,< 100 Euro,4 - 7 annees,1.0,41.0,banque,proprietaire,2,non_qualifie,1,oui,non,13398.8595332932
< 0 Euro,36,bon,education,1977,inconnu,> 7 annees,4.0,40.0,aucun,proprietaire,1,management,1,oui,oui,10456.887967602099
< 0 Euro,12,critique,auto,1526,< 100 Euro,> 7 annees,4.0,66.0,aucun,autre,2,management,1,oui,non,7624.268827734259
< 0 Euro,42,bon,ameublement,3965,< 100 Euro,< 1 annee,3.0,34.0,aucun,proprietaire,1,qualifie,1,oui,oui,18391.9387108946
1 - 200 Euro,11,pauvre,ameublement,4771,< 100 Euro,4 - 7 annees,4.0,51.0,aucun,proprietaire,1,qualifie,1,oui,non,12932.3095596224
inconnu,54,parfait,auto,9436,inconnu,1 - 4 annees,2.0,39.0,aucun,proprietaire,1,non_qualifie,2,oui,non,23257.034760885697
1 - 200 Euro,30,bon,ameublement,3832,< 100 Euro,< 1 annee,1.0,22.0,aucun,proprietaire,1,qualifie,1,oui,non,9165.96226019124
inconnu,24,bon,ameublement,5943,inconnu,< 1 annee,1.0,44.0,aucun,proprietaire,2,qualifie,1,oui,oui,10237.8479237722
inconnu,15,bon,ameublement,1213,500 - 1000 Euro,> 7 annees,3.0,47.0,magasin,proprietaire,1,qualifie,1,oui,non,5382.31637181698
inconnu,18,bon,business,1568,100 - 500 Euro,1 - 4 annees,4.0,24.0,aucun,locataire,1,non_qualifie,1,oui,non,5822.14099472208
< 0 Euro,24,bon,auto0,1755,< 100 Euro,> 7 annees,4.0,58.0,aucun,proprietaire,1,non_qualifie,1,oui,non,11153.3353354544
< 0 Euro,10,bon,ameublement,2315,< 100 Euro,> 7 annees,4.0,52.0,aucun,proprietaire,1,non_qualifie,1,oui,non,9335.84412964482
inconnu,12,critique,business,1412,< 100 Euro,1 - 4 annees,2.0,29.0,aucun,proprietaire,2,management,1,oui,non,9914.4687682774
1 - 200 Euro,18,critique,ameublement,1295,< 100 Euro,< 1 annee,1.0,27.0,aucun,proprietaire,2,qualifie,1,oui,non,5353.012107923621
1 - 200 Euro,36,bon,education,12612,100 - 500 Euro,1 - 4 annees,4.0,47.0,aucun,autre,1,qualifie,2,oui,oui,14209.5404932064
< 0 Euro,18,bon,auto,2249,100 - 500 Euro,4 - 7 annees,3.0,30.0,aucun,proprietaire,1,management,2,oui,non,14622.4783331187
< 0 Euro,12,parfait,renonvations,1108,< 100 Euro,4 - 7 annees,3.0,28.0,aucun,proprietaire,2,qualifie,1,oui,oui,6288.421356969039
inconnu,12,critique,ameublement,618,< 100 Euro,> 7 annees,4.0,56.0,aucun,proprietaire,1,qualifie,1,oui,non,3125.24798613737
< 0 Euro,12,critique,auto,1409,< 100 Euro,> 7 annees,3.0,54.0,aucun,proprietaire,1,qualifie,1,oui,non,8787.13261794479
inconnu,12,critique,ameublement,797,inconnu,> 7 annees,3.0,33.0,banque,proprietaire,1,non_qualifie,2,oui,oui,5339.17187201676
> 200 Euro,24,critique,ameublement,3617,inconnu,> 7 annees,4.0,20.0,aucun,locataire,2,qualifie,1,oui,non,23933.71433321
1 - 200 Euro,12,bon,auto,1318,> 1000 Euro,> 7 annees,4.0,54.0,aucun,proprietaire,1,qualifie,1,oui,non,8654.518169602099
1 - 200 Euro,54,parfait,business,15945,< 100 Euro,< 1 annee,4.0,58.0,aucun,locataire,1,qualifie,1,oui,oui,59221.477379291
inconnu,12,critique,education,2012,inconnu,4 - 7 annees,2.0,61.0,aucun,proprietaire,1,qualifie,1,oui,non,12287.285950052199
1 - 200 Euro,18,bon,business,2622,100 - 500 Euro,1 - 4 annees,4.0,34.0,aucun,proprietaire,1,qualifie,1,oui,non,17146.7147562958
< 0 Euro,6,critique,ameublement,1169,inconnu,> 7 annees,4.0,67.0,aucun,proprietaire,2,qualifie,1,oui,non,7496.494787768322
< 0 Euro,6,critique,ameublement,1169,inconnu,> 7 annees,4.0,67.0,aucun,proprietaire,2,qualifie,1,oui,non,5316.71796016963
1 - 200 Euro,36,critique,ameublement,2337,< 100 Euro,> 7 annees,4.0,36.0,aucun,proprietaire,1,qualifie,1,oui,non,11947.1214767645
1 - 200 Euro,20,pauvre,auto,7057,inconnu,4 - 7 annees,4.0,36.0,banque,locataire,2,management,2,oui,non,22768.9320517829
inconnu,24,bon,auto,1469,100 - 500 Euro,> 7 annees,4.0,41.0,aucun,locataire,1,non_qualifie,1,oui,non,8257.1928550508
1 - 200 Euro,36,bon,ameublement,2323,< 100 Euro,4 - 7 annees,4.0,24.0,aucun,locataire,1,qualifie,1,oui,non,12680.7866637033
inconnu,6,pauvre,ameublement,932,< 100 Euro,1 - 4 annees,2.0,24.0,aucun,proprietaire,1,qualifie,1,oui,non,2875.93283218666
1 - 200 Euro,9,critique,ameublement,1919,< 100 Euro,4 - 7 annees,3.0,35.0,aucun,locataire,1,qualifie,1,oui,non,9849.549147557
inconnu,12,bon,auto,2445,inconnu,< 1 annee,4.0,26.0,aucun,locataire,1,qualifie,1,oui,non,8261.450713079692
1 - 200 Euro,24,critique,auto,11938,< 100 Euro,1 - 4 annees,3.0,39.0,aucun,proprietaire,2,management,2,oui,oui,31831.1657185325
inconnu,18,tres bon,auto,6458,< 100 Euro,> 7 annees,4.0,39.0,banque,proprietaire,2,management,2,oui,oui,18786.846582299
1 - 200 Euro,12,bon,auto,6078,< 100 Euro,4 - 7 annees,2.0,32.0,aucun,proprietaire,1,qualifie,1,oui,non,16088.0706522584
< 0 Euro,24,bon,ameublement,7721,inconnu,< 1 annee,2.0,30.0,aucun,proprietaire,1,qualifie,1,oui,non,13853.6243519892
1 - 200 Euro,14,bon,business,1410,500 - 1000 Euro,> 7 annees,2.0,35.0,aucun,proprietaire,1,qualifie,1,oui,non,1501.3250100548098
1 - 200 Euro,6,pauvre,business,1449,100 - 500 Euro,> 7 annees,2.0,31.0,banque,proprietaire,2,qualifie,2,oui,non,2295.17120788272
> 200 Euro,15,bon,education,392,< 100 Euro,< 1 annee,4.0,23.0,aucun,locataire,1,qualifie,1,oui,non,2493.4268255679503
1 - 200 Euro,18,bon,auto,6260,< 100 Euro,4 - 7 annees,3.0,28.0,aucun,locataire,1,non_qualifie,1,oui,non,21158.542815156597
inconnu,36,critique,auto,7855,< 100 Euro,1 - 4 annees,2.0,25.0,magasin,proprietaire,2,qualifie,1,oui,oui,45633.0835049453
< 0 Euro,12,bon,ameublement,1680,500 - 1000 Euro,> 7 annees,1.0,35.0,aucun,proprietaire,1,qualifie,1,oui,non,7843.711474015459
inconnu,48,critique,ameublement,3578,inconnu,> 7 annees,1.0,47.0,aucun,proprietaire,1,qualifie,1,oui,non,19146.777122216798
< 0 Euro,42,bon,ameublement,7174,inconnu,4 - 7 annees,3.0,30.0,aucun,proprietaire,1,management,1,oui,oui,48631.4911771704
< 0 Euro,10,critique,ameublement,2132,inconnu,< 1 annee,3.0,27.0,aucun,locataire,2,qualifie,1,oui,non,5823.82041396312
< 0 Euro,33,critique,ameublement,4281,500 - 1000 Euro,1 - 4 annees,4.0,23.0,aucun,proprietaire,2,qualifie,1,oui,oui,5613.486798801229
1 - 200 Euro,12,critique,auto,2366,500 - 1000 Euro,4 - 7 annees,3.0,36.0,aucun,proprietaire,1,management,1,oui,non,9903.19170421416
< 0 Euro,21,bon,ameublement,1835,< 100 Euro,1 - 4 annees,2.0,25.0,aucun,proprietaire,2,qualifie,1,oui,oui,7962.57576430413
inconnu,24,critique,auto,3868,< 100 Euro,> 7 annees,2.0,41.0,aucun,locataire,2,management,1,oui,non,26320.2091038477
inconnu,12,bon,ameublement,1768,< 100 Euro,1 - 4 annees,2.0,24.0,aucun,locataire,1,non_qualifie,1,oui,non,5387.85632365131
> 200 Euro,10,critique,auto,781,< 100 Euro,> 7 annees,4.0,63.0,aucun,autre,2,qualifie,1,oui,non,3755.27264913457
1 - 200 Euro,18,bon,ameublement,1924,inconnu,< 1 annee,3.0,27.0,aucun,locataire,1,qualifie,1,oui,oui,7765.150352999829
< 0 Euro,12,critique,auto,2121,< 100 Euro,1 - 4 annees,2.0,30.0,aucun,proprietaire,2,qualifie,1,oui,non,10304.8750740753
< 0 Euro,12,bon,ameublement,701,< 100 Euro,1 - 4 annees,2.0,40.0,aucun,proprietaire,1,non_qualifie,1,oui,non,5026.5482662395
1 - 200 Euro,12,bon,renonvations,639,< 100 Euro,1 - 4 annees,2.0,30.0,aucun,proprietaire,1,qualifie,1,oui,oui,4025.2924348823713
1 - 200 Euro,12,critique,auto,1860,< 100 Euro,chomeur,2.0,34.0,aucun,proprietaire,2,management,1,oui,non,11985.8846226278
< 0 Euro,12,critique,auto,3499,< 100 Euro,1 - 4 annees,2.0,29.0,aucun,proprietaire,2,qualifie,1,oui,oui,13880.198878096298
1 - 200 Euro,48,bon,auto,8487,inconnu,4 - 7 annees,2.0,24.0,aucun,proprietaire,1,qualifie,1,oui,non,12023.502872673302
< 0 Euro,36,pauvre,education,6887,< 100 Euro,1 - 4 annees,3.0,29.0,magasin,proprietaire,1,qualifie,1,oui,oui,46342.5632837683
inconnu,15,bon,ameublement,2708,< 100 Euro,< 1 annee,3.0,27.0,banque,proprietaire,2,non_qualifie,1,oui,non,8773.808699417299
inconnu,18,bon,ameublement,1984,< 100 Euro,1 - 4 annees,4.0,47.0,banque,autre,2,qualifie,1,oui,non,9997.18617957562
inconnu,60,bon,ameublement,10144,100 - 500 Euro,4 - 7 annees,4.0,21.0,aucun,proprietaire,1,qualifie,1,oui,non,25012.8419978988
inconnu,12,critique,ameublement,1240,inconnu,> 7 annees,2.0,38.0,aucun,proprietaire,2,qualifie,1,oui,non,8332.968775331059
inconnu,27,pauvre,auto,8613,> 1000 Euro,1 - 4 annees,2.0,27.0,aucun,proprietaire,2,qualifie,1,oui,non,18700.2224094733
1 - 200 Euro,12,bon,ameublement,766,500 - 1000 Euro,1 - 4 annees,3.0,66.0,aucun,proprietaire,1,non_qualifie,1,oui,oui,3815.5868675040297
1 - 200 Euro,15,critique,ameublement,2728,inconnu,4 - 7 annees,2.0,35.0,banque,proprietaire,3,qualifie,1,oui,non,16465.2896012632
> 200 Euro,12,bon,ameublement,1881,< 100 Euro,1 - 4 annees,2.0,44.0,aucun,locataire,1,non_qualifie,1,oui,non,6515.9772912462595
> 200 Euro,6,bon,auto,709,> 1000 Euro,< 1 annee,2.0,27.0,aucun,proprietaire,1,chomeur,1,oui,non,2356.22886191184
1 - 200 Euro,36,bon,ameublement,4795,< 100 Euro,< 1 annee,1.0,30.0,aucun,proprietaire,1,management,1,oui,non,25831.3484861772
< 0 Euro,27,bon,ameublement,3416,< 100 Euro,1 - 4 annees,2.0,27.0,aucun,proprietaire,1,management,1,oui,non,13549.6101369984
< 0 Euro,18,bon,ameublement,2462,< 100 Euro,1 - 4 annees,2.0,22.0,aucun,proprietaire,1,qualifie,1,oui,oui,6045.97801118549
inconnu,21,critique,ameublement,2288,< 100 Euro,< 1 annee,4.0,23.0,aucun,proprietaire,1,qualifie,1,oui,non,16190.9981956437
1 - 200 Euro,48,tres bon,business,3566,100 - 500 Euro,4 - 7 annees,2.0,30.0,aucun,proprietaire,1,qualifie,1,oui,non,17717.071211868002
< 0 Euro,6,critique,auto,860,< 100 Euro,> 7 annees,4.0,39.0,aucun,proprietaire,2,qualifie,1,oui,non,1087.10066593817
inconnu,12,critique,auto,682,100 - 500 Euro,4 - 7 annees,3.0,51.0,aucun,proprietaire,2,qualifie,1,oui,non,3286.2910723755604
< 0 Euro,36,critique,ameublement,5371,< 100 Euro,1 - 4 annees,2.0,28.0,aucun,proprietaire,2,qualifie,1,oui,non,26520.6033898341
inconnu,18,critique,ameublement,1582,> 1000 Euro,> 7 annees,4.0,46.0,aucun,proprietaire,2,qualifie,1,oui,non,8946.776141406079
inconnu,6,bon,ameublement,1346,100 - 500 Euro,> 7 annees,4.0,42.0,banque,autre,1,qualifie,2,oui,non,3041.667593442731
inconnu,10,bon,ameublement,1924,< 100 Euro,1 - 4 annees,4.0,38.0,aucun,proprietaire,1,qualifie,1,oui,non,1972.86799708576
> 200 Euro,36,bon,ameublement,5848,< 100 Euro,1 - 4 annees,1.0,24.0,aucun,proprietaire,1,qualifie,1,oui,non,39882.479881960295
1 - 200 Euro,24,critique,auto,7758,> 1000 Euro,> 7 annees,4.0,29.0,aucun,locataire,1,qualifie,1,oui,non,20111.5028689839
1 - 200 Euro,24,pauvre,business,6967,100 - 500 Euro,4 - 7 annees,4.0,36.0,aucun,locataire,1,management,1,oui,non,48009.231568092
< 0 Euro,12,bon,ameublement,1282,< 100 Euro,1 - 4 annees,4.0,20.0,aucun,locataire,1,qualifie,1,oui,oui,4370.70588064487
< 0 Euro,9,critique,renonvations,1288,100 - 500 Euro,> 7 annees,4.0,48.0,aucun,proprietaire,2,qualifie,2,oui,non,6355.8489281723
< 0 Euro,12,tres bon,education,339,< 100 Euro,> 7 annees,1.0,45.0,banque,proprietaire,1,non_qualifie,1,oui,non,1774.1770937247
1 - 200 Euro,24,bon,auto,3512,100 - 500 Euro,4 - 7 annees,3.0,38.0,banque,proprietaire,2,qualifie,1,oui,non,12254.0577198158
inconnu,6,critique,ameublement,1898,inconnu,1 - 4 annees,2.0,34.0,aucun,proprietaire,2,non_qualifie,2,oui,non,2636.27705521316
inconnu,24,critique,ameublement,2872,100 - 500 Euro,> 7 annees,4.0,36.0,aucun,proprietaire,1,qualifie,2,oui,non,14886.854364525701
inconnu,18,critique,auto,1055,< 100 Euro,< 1 annee,1.0,30.0,aucun,proprietaire,2,qualifie,1,oui,non,4504.753564180511
inconnu,15,bon,ameublement,1262,500 - 1000 Euro,4 - 7 annees,3.0,36.0,aucun,proprietaire,2,qualifie,1,oui,non,5811.43935359489
1 - 200 Euro,10,bon,auto,7308,< 100 Euro,chomeur,4.0,70.0,banque,autre,1,management,1,oui,non,24566.7868252293
inconnu,36,bon,auto,909,500 - 1000 Euro,> 7 annees,4.0,36.0,aucun,proprietaire,1,qualifie,1,oui,non,3892.8594834015503
inconnu,6,bon,ameublement,2978,500 - 1000 Euro,1 - 4 annees,2.0,32.0,aucun,proprietaire,1,qualifie,1,oui,non,4540.0989762114505
< 0 Euro,18,bon,ameublement,1131,< 100 Euro,chomeur,2.0,33.0,aucun,proprietaire,1,qualifie,1,oui,oui,6677.579951627739
1 - 200 Euro,11,bon,ameublement,1577,> 1000 Euro,< 1 annee,1.0,20.0,aucun,proprietaire,1,qualifie,1,oui,non,11321.8277473224
inconnu,24,bon,ameublement,3972,< 100 Euro,4 - 7 annees,4.0,25.0,aucun,locataire,1,qualifie,1,oui,non,13966.7804259528
1 - 200 Euro,24,critique,business,1935,< 100 Euro,> 7 annees,4.0,31.0,aucun,proprietaire,2,qualifie,1,oui,oui,9975.01412044614
< 0 Euro,15,parfait,auto,950,< 100 Euro,> 7 annees,3.0,33.0,aucun,locataire,2,qualifie,2,oui,oui,5166.31973298206
inconnu,12,bon,ameublement,763,< 100 Euro,1 - 4 annees,1.0,26.0,aucun,proprietaire,1,qualifie,1,oui,non,4446.7233747348
1 - 200 Euro,24,pauvre,ameublement,2064,< 100 Euro,chomeur,2.0,34.0,aucun,proprietaire,1,management,1,oui,oui,7245.78182469843
1 - 200 Euro,8,bon,ameublement,1414,< 100 Euro,1 - 4 annees,2.0,33.0,aucun,proprietaire,1,qualifie,1,oui,non,6780.1516929317395
< 0 Euro,21,pauvre,education,3414,< 100 Euro,< 1 annee,1.0,26.0,aucun,proprietaire,2,qualifie,1,oui,oui,10734.4916332355
inconnu,30,tres bon,auto,7485,inconnu,chomeur,1.0,53.0,banque,proprietaire,1,management,1,oui,oui,35975.9193311592
< 0 Euro,12,bon,ameublement,2577,< 100 Euro,1 - 4 annees,1.0,42.0,aucun,proprietaire,1,qualifie,1,oui,non,8948.165958990709
< 0 Euro,6,critique,ameublement,338,500 - 1000 Euro,> 7 annees,4.0,52.0,aucun,proprietaire,2,qualifie,1,oui,non,1826.9308357570198
inconnu,12,bon,ameublement,1963,< 100 Euro,4 - 7 annees,2.0,31.0,aucun,locataire,2,management,2,oui,non,13625.4805274725
< 0 Euro,21,critique,auto,571,< 100 Euro,> 7 annees,4.0,65.0,aucun,proprietaire,2,qualifie,1,oui,non,3568.5809775236407
inconnu,36,pauvre,business,9572,< 100 Euro,< 1 annee,1.0,28.0,aucun,proprietaire,2,qualifie,1,oui,oui,16664.746522158
1 - 200 Euro,36,pauvre,business,4455,< 100 Euro,1 - 4 annees,2.0,30.0,magasin,proprietaire,2,management,1,oui,oui,13620.685980235201
